id,host_since,accommodates,bathrooms,bedrooms,beds,bed_type,first_review,instant_bookable,cancellation_policy
24857951,2014-04-30,5,2,0,2,Real Bed,,t,strict_14_with_grace_period
24857956,2014-04-30,2,1,0,1,Real Bed,,t,strict_14_with_grace_period
24857964,2014-04-30,2,1,0,1,Real Bed,,t,strict_14_with_grace_period
24857967,2014-04-30,5,2,0,2,Real Bed,,t,strict_14_with_grace_period
24857970,2014-04-30,5,2,0,2,Real Bed,,t,strict_14_with_grace_period
24857982,2014-04-30,5,2,0,2,Real Bed,,t,strict_14_with_grace_period
24858584,2018-01-30,9,2,3,3,Real Bed,2018-07-14,f,strict_14_with_grace_period
24859347,2015-05-23,2,2,1,1,Real Bed,,f,strict_14_with_grace_period
24859931,2018-05-05,6,1,3,4,Real Bed,2018-06-28,f,strict_14_with_grace_period
24860415,2018-03-25,2,1,1,1,Real Bed,2018-07-19,f,flexible
24861061,2017-08-02,2,1,1,1,Real Bed,2018-06-10,t,moderate
24862255,2018-01-28,4,2,2,3,Real Bed,2018-05-09,f,flexible
24863226,2017-10-31,2,1,1,2,Real Bed,2018-05-16,f,strict_14_with_grace_period
24873126,2017-01-19,2,1,1,1,Real Bed,,t,flexible
24875119,2013-06-27,3,1,0,2,Real Bed,2018-11-15,f,strict_14_with_grace_period
24875175,2018-05-05,1,1,1,1,Real Bed,,t,flexible
24876118,2018-05-06,3,1,2,2,Real Bed,2018-06-12,f,flexible
24876804,2016-09-13,4,1,1,2,Real Bed,2018-06-10,t,strict_14_with_grace_period
24878647,2016-09-04,1,1,1,1,Real Bed,2018-06-13,t,flexible
24880933,2010-09-10,4,1,2,2,Real Bed,2018-06-11,f,strict_14_with_grace_period
24881134,2016-01-13,4,1,2,2,Real Bed,2018-05-27,t,strict_14_with_grace_period
24882244,2016-01-03,2,1,1,1,Real Bed,,t,flexible
24883868,2015-07-06,2,1,1,2,Real Bed,2018-05-12,t,strict_14_with_grace_period
24891519,2018-05-06,2,1,1,0,Real Bed,2018-05-27,t,moderate
24892603,2018-01-11,2,1,1,1,Real Bed,,f,moderate
24893508,2014-09-07,8,2,3,5,Real Bed,2018-05-27,f,strict_14_with_grace_period
24893637,2018-05-06,4,2,2,2,Real Bed,2018-05-19,t,flexible
24893746,2016-02-16,1,1,1,1,Real Bed,2018-05-12,t,strict_14_with_grace_period
24894042,2018-05-06,7,2,3,3,Real Bed,2018-05-25,t,flexible
24894194,2016-07-06,9,2,5,5,Real Bed,2018-05-27,f,moderate
24894251,2013-04-16,4,1,2,2,Real Bed,2018-11-24,f,flexible
24894500,2013-06-27,2,2,1,1,Real Bed,2018-10-08,f,strict_14_with_grace_period
24894582,2017-04-17,1,1,1,1,Real Bed,2018-06-02,f,flexible
24894774,2014-09-07,8,2,3,5,Real Bed,2018-05-27,f,strict_14_with_grace_period
