id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,collect_date
15902987,51784844,Dilin,Melbourne,-37.80629723,144.962097,Entire home/apt,112,1,112,30/11/18,4.46,12,78,2018-12-07
15903594,61061216,Tarneen,Yarra,-37.79678132,144.9799775,Private room,80,1,85,8/04/18,3.45,1,0,2018-12-07
15904244,99921119,Christina,Melbourne,-37.80899416,144.9697216,Private room,75,1,8,21/01/17,0.32,2,365,2018-12-07
15904858,46701430,Ooki,Moreland,-37.7637136,144.9596299,Private room,50,3,53,23/09/18,2.12,8,30,2018-12-07
15906899,102800374,Nicole,Port Phillip,-37.84431157,144.9397865,Entire home/apt,199,7,3,21/02/18,0.12,1,90,2018-12-07
15907433,101286947,Javie,Melbourne,-37.80983398,144.9693899,Private room,40,1,2,20/11/16,0.08,1,0,2018-12-07
15908124,44164045,Jason,Stonnington,-37.84044444,144.9943831,Entire home/apt,108,1,115,28/11/18,5.54,1,165,2018-12-07
15908387,390761,Matt,Yarra,-37.80307639,144.9771929,Private room,115,1,4,26/01/18,0.16,4,89,2018-12-07
15910471,42994969,Daniel,Melbourne,-37.80596921,144.9632257,Entire home/apt,199,4,4,1/10/18,0.16,5,365,2018-12-07
15915130,56765766,Kym,Melbourne,-37.79618553,144.9220066,Entire home/apt,78,2,79,2/12/18,3.61,1,200,2018-12-07
15915787,103258461,Yvonne,Darebin,-37.7431003,145.0032791,Private room,55,1,20,15/06/18,0.81,1,52,2018-12-07
15918496,103268894,Jeremy Ryan,Melbourne,-37.8162583,144.9541737,Private room,90,1,103,17/11/18,4.15,1,348,2018-12-07
15919367,15158089,Tiffany,Boroondara,-37.80136146,145.0410804,Private room,46,7,0,,,1,0,2018-12-07
15919556,46780984,Peggy,Melbourne,-37.81592736,144.9534987,Entire home/apt,161,1,127,23/11/18,5.06,18,142,2018-12-07
15920852,103299467,Kevin,Melbourne,-37.80086389,144.9644557,Entire home/apt,80,2,31,2/09/18,1.28,1,0,2018-12-07
15921890,4177728,Chris,Darebin,-37.77543568,144.99551,Entire home/apt,203,3,3,11/11/18,0.15,26,4,2018-12-07
15922105,99945181,Tony,Melbourne,-37.81045458,144.9601261,Entire home/apt,174,1,158,20/11/18,8.59,5,141,2018-12-07
15922405,103310024,Michele,Stonnington,-37.86924699,145.0617039,Private room,145,3,0,,,1,83,2018-12-07
15922582,24508892,Joseph,Melbourne,-37.81478304,144.9539313,Entire home/apt,125,1,107,20/10/18,4.31,13,39,2018-12-07
15923063,27519367,Kevin,Yarra,-37.80613731,144.9865086,Entire home/apt,100,2,42,27/11/18,1.74,7,292,2018-12-07
15923194,103316253,Rebecca,Moreland,-37.77233034,144.9722371,Private room,48,1,2,28/11/16,0.08,1,0,2018-12-07
15923680,34310327,Maya,Port Phillip,-37.86415228,144.9842479,Entire home/apt,100,1,0,,,1,0,2018-12-07
15928044,26441589,CaraJane,Moreland,-37.74147431,144.93847,Entire home/apt,91,2,9,18/11/18,0.37,1,12,2018-12-07
15928161,50148949,Corey,Darebin,-37.77353672,145.0047181,Entire home/apt,100,2,1,29/01/18,0.1,1,0,2018-12-07
15928659,27924962,Julie,Yarra Ranges,-37.64902758,145.496522,Entire home/apt,180,2,62,9/11/18,2.58,2,14,2018-12-07
15929084,33539920,Robert,Melbourne,-37.84319268,144.9838465,Entire home/apt,130,6,5,31/10/18,0.21,9,335,2018-12-07
15929743,85092157,Jose And Luisa,Melbourne,-37.8074119,144.9561415,Private room,69,1,83,8/07/18,3.32,2,0,2018-12-07
15930184,3538754,Bella,Stonnington,-37.84372821,144.9976291,Private room,60,1,4,7/10/17,0.19,2,69,2018-12-07
15933166,93066268,Tony,Melbourne,-37.80768597,144.9581855,Entire home/apt,130,2,19,10/11/18,0.77,1,94,2018-12-07
15934210,15244327,Paula,Kingston,-38.04363884,145.1120526,Entire home/apt,170,2,20,2/11/18,0.87,1,284,2018-12-07
15935060,103417208,Vee,Brimbank,-37.75557663,144.7895619,Private room,44,2,21,24/06/18,0.88,3,65,2018-12-07
15937180,103436592,Kate,Yarra,-37.8088157,145.0063378,Private room,150,1,0,,,2,87,2018-12-07
15937802,8530753,Jared SSP,Melbourne,-37.81546048,144.9533494,Entire home/apt,119,1,133,2/12/18,5.33,98,352,2018-12-07
15939013,23359356,Lexie,Melbourne,-37.8160501,144.9548738,Private room,80,1,80,30/08/18,3.27,5,93,2018-12-07
15940295,45546326,Rachael,Yarra,-37.78553635,144.9788998,Entire home/apt,320,3,6,12/01/18,0.24,1,97,2018-12-07
15941304,31683992,Lucy,Yarra Ranges,-37.74759272,145.6763003,Entire home/apt,145,2,59,25/11/18,2.78,2,173,2018-12-07
15941384,103472596,Raj,Whittlesea,-37.62623576,145.0323415,Private room,40,1,2,28/01/17,0.08,1,162,2018-12-07
15941879,103477732,Kwan,Whitehorse,-37.83485884,145.1923497,Private room,50,1,0,,,1,0,2018-12-07
15941888,92739870,David,Port Phillip,-37.83642439,144.9598363,Entire home/apt,145,2,40,29/11/18,1.67,1,279,2018-12-07
15942011,30135694,Penny,Port Phillip,-37.85581861,144.9662678,Entire home/apt,180,4,49,3/12/18,2.23,2,241,2018-12-07
15942337,103482184,Gwen,Frankston,-38.08033442,145.2042485,Private room,65,1,21,20/02/18,0.89,1,358,2018-12-07
15942999,94179618,Zoe,Melbourne,-37.78233655,144.959393,Private room,40,3,0,,,1,41,2018-12-07
15943129,1037871,Matthew,Maribyrnong,-37.80586267,144.8902854,Entire home/apt,100,3,1,1/01/17,0.04,1,0,2018-12-07
15943365,42474207,Steven,Melbourne,-37.81512285,144.9540939,Entire home/apt,136,1,116,28/11/18,4.66,4,135,2018-12-07
15943788,98870161,ParksideResidenceRoyalPark,Melbourne,-37.78874504,144.9589585,Entire home/apt,120,2,11,24/09/17,0.47,1,0,2018-12-07
15943970,103436592,Kate,Yarra,-37.81029732,145.0062824,Entire home/apt,199,1,1,20/11/16,0.04,2,87,2018-12-07
15943993,16639285,Carolyn,Melbourne,-37.79779006,144.9288153,Entire home/apt,199,5,3,28/01/18,0.13,1,340,2018-12-07
15944025,98298028,Michael,Yarra,-37.78289801,144.9836038,Private room,66,2,15,22/09/18,0.61,1,13,2018-12-07
15944172,9181416,Paula,Moreland,-37.75790926,144.9474292,Private room,100,1,0,,,1,87,2018-12-07
15944346,8628215,Jonathan,Stonnington,-37.85490129,144.9997711,Entire home/apt,60,7,2,22/09/17,0.08,1,0,2018-12-07
15945005,103502754,Rachel,Stonnington,-37.83715694,144.9912896,Entire home/apt,84,3,4,21/02/17,0.16,1,0,2018-12-07
15945188,103020913,Cath,Port Phillip,-37.84023128,144.9383034,Entire home/apt,98,3,58,1/12/18,2.39,1,270,2018-12-07
15945202,55062850,Shannon And Sarah,Yarra Ranges,-37.6601318,145.5116555,Entire home/apt,190,1,124,4/12/18,4.97,1,307,2018-12-07
15945482,74962555,Andrew,Port Phillip,-37.83388757,144.9553107,Entire home/apt,249,9,1,1/03/18,0.11,1,66,2018-12-07
15945768,95641308,Nick,Whitehorse,-37.81606062,145.1120962,Entire home/apt,150,1,7,3/11/18,0.3,3,364,2018-12-07
15946456,50333540,Stephen,Yarra,-37.80031233,144.9769497,Entire home/apt,180,2,14,25/11/18,0.57,1,315,2018-12-07
15946859,3917271,Timka,Melbourne,-37.81490381,144.9586325,Private room,65,1,33,27/11/18,1.41,1,32,2018-12-07
15947959,669279,Chammy,Melbourne,-37.81859595,144.9549781,Entire home/apt,138,2,157,29/11/18,6.45,9,51,2018-12-07
15953983,212071,Loren,Yarra,-37.81815251,145.0045265,Entire home/apt,100,5,15,17/12/17,0.63,4,11,2018-12-07
15955013,103516351,Tan,Port Phillip,-37.87224256,144.9825575,Entire home/apt,251,2,4,10/06/17,0.18,1,0,2018-12-07
15955432,87406438,Robert,Yarra,-37.81391774,144.9923457,Entire home/apt,98,2,24,21/08/17,1.05,1,0,2018-12-07
15956409,53103877,Zan,Bayside,-37.96658437,145.0218748,Entire home/apt,145,1,17,24/09/18,0.78,1,280,2018-12-07
15956935,27656114,Chris,Melbourne,-37.81731823,144.9601081,Entire home/apt,180,3,0,,,1,0,2018-12-07
15957652,4421359,Alexander,Melbourne,-37.82512298,144.9669977,Entire home/apt,190,2,141,11/11/18,5.61,1,136,2018-12-07
15957864,6745966,James,Yarra,-37.77965357,144.9796268,Entire home/apt,90,3,8,3/08/18,0.32,1,0,2018-12-07
15957961,15755500,Sam,Port Phillip,-37.87765632,144.9819473,Entire home/apt,199,5,1,7/01/17,0.04,1,0,2018-12-07
15960401,45612268,Rae,Yarra,-37.79360668,145.0017505,Entire home/apt,419,14,0,,,1,83,2018-12-07
15960717,75487447,Megan,Hobsons Bay,-37.85484089,144.896967,Entire home/apt,215,7,4,6/04/18,0.17,1,336,2018-12-07
15960943,65390440,Nicole,Kingston,-37.95438939,145.0636564,Private room,89,2,36,20/11/18,1.51,1,47,2018-12-07
15961333,100421933,Jan,Moonee Valley,-37.74092711,144.8575405,Private room,50,1,17,17/10/18,0.69,1,250,2018-12-07
15964193,102968616,Richmond Hill,Yarra,-37.82265596,144.9980624,Entire home/apt,180,1,11,14/11/18,0.49,2,341,2018-12-07
15970057,65131102,Graham,Melbourne,-37.80122277,144.9506824,Entire home/apt,109,3,1,24/04/17,0.04,1,155,2018-12-07
15971395,9198367,Nest-Apartments,Melbourne,-37.81640463,144.9552973,Entire home/apt,329,2,38,19/11/18,1.55,29,308,2018-12-07
15972247,21464506,Bhavjeet,Yarra,-37.81623824,145.0048891,Entire home/apt,120,1,13,17/06/18,0.55,1,37,2018-12-07
15975007,74066800,Nicky,Stonnington,-37.83584903,144.991873,Entire home/apt,96,21,2,9/11/18,0.97,47,6,2018-12-07
15975597,74066800,Nicky,Stonnington,-37.83608896,144.9927541,Entire home/apt,84,14,0,,,47,72,2018-12-07
15975883,103475409,Daralak,Melbourne,-37.80377114,144.9607389,Private room,84,2,1,3/12/16,0.04,1,0,2018-12-07
15975915,74066800,Nicky,Stonnington,-37.83615138,144.9925697,Entire home/apt,84,14,2,1/11/17,0.09,47,72,2018-12-07
15976003,74066800,Nicky,Stonnington,-37.83603429,144.9905883,Entire home/apt,84,7,2,24/11/18,1.03,47,47,2018-12-07
15976012,88878226,Jacqui,Casey,-37.99116698,145.2867796,Entire home/apt,71,2,120,4/12/18,5.03,1,266,2018-12-07
15976930,74066800,Nicky,Stonnington,-37.83541893,144.9911655,Entire home/apt,84,14,1,15/06/17,0.06,47,65,2018-12-07
15977145,96129286,Alan,Whitehorse,-37.80815696,145.1424,Entire home/apt,159,4,23,24/11/18,0.96,1,65,2018-12-07
15977169,74066800,Nicky,Stonnington,-37.83662399,144.9909083,Entire home/apt,84,28,0,,,47,72,2018-12-07
15977246,50558318,Thomas,Darebin,-37.76999587,144.9910519,Entire home/apt,84,1,55,24/11/18,2.2,1,268,2018-12-07
15977318,47596665,Coral,Melbourne,-37.82428227,144.9667268,Entire home/apt,179,1,118,23/11/18,5.01,1,153,2018-12-07
15977893,102567336,Adrianne,Melbourne,-37.81410891,144.9533038,Private room,66,1,68,4/12/18,2.77,6,24,2018-12-07
15977989,103804284,Jane,Melbourne,-37.78598505,144.940454,Entire home/apt,199,2,90,2/12/18,3.64,1,308,2018-12-07
15985668,38385497,William,Moreland,-37.74477592,144.9723851,Entire home/apt,190,3,2,31/10/18,0.1,3,365,2018-12-07
15986077,103871310,Tina And Jurek,Melbourne,-37.8149023,144.9378209,Private room,419,1,5,12/06/17,0.2,2,89,2018-12-07
15988240,1710397,Amanda,Glen Eira,-37.88193513,144.998908,Entire home/apt,174,3,5,28/10/18,0.54,35,236,2018-12-07
15988382,45562621,Geordie,Port Phillip,-37.86143359,145.0086082,Private room,50,3,5,26/04/17,0.21,1,2,2018-12-07
15988939,11914644,Luxico Holiday Homes,Port Phillip,-37.87551134,144.9906184,Entire home/apt,900,7,0,,,73,20,2018-12-07
15989215,103875237,Ingrid,Banyule,-37.75705395,145.0362948,Entire home/apt,143,2,33,3/08/18,1.37,1,268,2018-12-07
15989459,51367664,Mary-Lou,Port Phillip,-37.8335967,144.9710606,Entire home/apt,230,2,30,23/09/18,1.21,2,14,2018-12-07
15989622,103907347,Bo,Melton,-37.73922997,144.7261693,Entire home/apt,450,2,23,28/10/18,0.92,3,339,2018-12-07
15989833,102567336,Adrianne,Melbourne,-37.81531857,144.9536644,Private room,61,1,63,21/11/18,2.54,6,33,2018-12-07
15991589,47823384,JoJo,Port Phillip,-37.85789194,144.9832719,Entire home/apt,119,1,176,17/11/18,7.05,6,310,2018-12-07
15992084,8232775,Guy,Yarra,-37.81727383,144.9982505,Private room,89,1,7,8/02/17,0.29,2,0,2018-12-07
15993220,57821781,Simon,Melbourne,-37.82642252,144.9563148,Entire home/apt,180,2,46,3/12/18,1.94,1,314,2018-12-07
15993573,15651267,Serviced Houses Australia,Wyndham,-37.90508825,144.7213365,Entire home/apt,245,2,0,,,26,325,2018-12-07
15993851,24394301,Timothy And Heidi,Melbourne,-37.81860318,144.9893286,Entire home/apt,550,3,0,,,1,0,2018-12-07
15994172,16536551,Julian,Yarra,-37.8152888,144.9931334,Private room,61,1,84,19/11/18,3.36,1,336,2018-12-07
15995601,59412198,Anubhav,Melbourne,-37.81053066,144.9699375,Entire home/apt,96,3,0,,,1,0,2018-12-07
15997992,7278891,Michelle,Port Phillip,-37.87231827,144.9799172,Private room,57,2,43,5/03/18,1.75,1,0,2018-12-07
16002142,13797498,Bes,Port Phillip,-37.85727885,144.9700865,Private room,120,2,0,,,1,122,2018-12-07
16003175,104027831,Chelsea,Bayside,-37.91788289,145.00528,Entire home/apt,208,2,43,13/11/18,1.82,1,190,2018-12-07
16003579,36606434,Ella,Melbourne,-37.81248055,144.9593618,Shared room,64,2,6,24/06/17,0.25,3,0,2018-12-07
